"Wijken en buurten";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Regioaanduiding/Indelingswijziging wijken en buurten (code)";"Postcode/Meest voorkomende postcode (code)";"Postcode/Dekkingspercentage (code)"
"Weespertrekvaart";"Amsterdam                               ";"Buurt     ";"BU03635801";"1";"      1096";1
"Amstelglorie";"Amsterdam                               ";"Buurt     ";"BU03635804";"1";"      1096";1
"Overamstel";"Amsterdam                               ";"Buurt     ";"BU03635805";"1";"      1096";1
"Amstelkwartier Noord";"Amsterdam                               ";"Buurt     ";"BU03635806";"1";"      1096";1
"De Omval";"Amsterdam                               ";"Buurt     ";"BU03635807";"1";"      1096";1
"Amstelkwartier Zuid";"Amsterdam                               ";"Buurt     ";"BU03635808";"1";"      1096";1
"Amstelkwartier West";"Amsterdam                               ";"Buurt     ";"BU03635809";"1";"      1096";1
"Prinses Irenebuurt e.o.";"Amsterdam                               ";"Wijk      ";"WK036359  ";"1";"         .";
"Prinses Irenebuurt";"Amsterdam                               ";"Buurt     ";"BU03635900";"1";"      1077";2
"Beatrixpark";"Amsterdam                               ";"Buurt     ";"BU03635901";"1";"      1077";1
"Volewijck";"Amsterdam                               ";"Wijk      ";"WK036360  ";"1";"         .";
"Van der Pekbuurt";"Amsterdam                               ";"Buurt     ";"BU03636000";"1";"      1031";1
"Bloemenbuurt Zuid";"Amsterdam                               ";"Buurt     ";"BU03636001";"1";"      1032";1
"Bloemenbuurt Noord";"Amsterdam                               ";"Buurt     ";"BU03636002";"1";"      1032";1
"IJplein/Vogelbuurt";"Amsterdam                               ";"Wijk      ";"WK036361  ";"1";"         .";
"IJplein e.o.";"Amsterdam                               ";"Buurt     ";"BU03636100";"1";"      1021";1
"Vogelbuurt Zuid";"Amsterdam                               ";"Buurt     ";"BU03636101";"1";"      1021";1
"Vogelbuurt Noord";"Amsterdam                               ";"Buurt     ";"BU03636102";"1";"      1022";1
"Vliegenbos";"Amsterdam                               ";"Buurt     ";"BU03636103";"1";"      1022";1
"Tuindorp Nieuwendam";"Amsterdam                               ";"Wijk      ";"WK036362  ";"1";"         .";
"Tuindorp Nieuwendam West";"Amsterdam                               ";"Buurt     ";"BU03636200";"1";"      1023";1
"Tuindorp Nieuwendam Oost";"Amsterdam                               ";"Buurt     ";"BU03636201";"1";"      1023";1
"Tuindorp Buiksloot";"Amsterdam                               ";"Wijk      ";"WK036363  ";"1";"         .";
"Blauwe Zand";"Amsterdam                               ";"Buurt     ";"BU03636300";"1";"      1025";1
"Nieuwendammerdijk/Buiksloterdijk";"Amsterdam                               ";"Wijk      ";"WK036364  ";"1";"         .";
"Buiksloterdijk West";"Amsterdam                               ";"Buurt     ";"BU03636400";"1";"      1034";1
"Buiksloterdijk Oost";"Amsterdam                               ";"Buurt     ";"BU03636401";"1";"      1025";1
"Nieuwendammmerdijk West";"Amsterdam                               ";"Buurt     ";"BU03636402";"1";"      1025";1
"Nieuwendammerdijk Oost";"Amsterdam                               ";"Buurt     ";"BU03636403";"1";"      1023";1
"Nieuwendammerdijk Zuid";"Amsterdam                               ";"Buurt     ";"BU03636404";"1";"      1023";1
"Tuindorp Oostzaan";"Amsterdam                               ";"Wijk      ";"WK036365  ";"1";"         .";
"Tuindorp Oostzaan West";"Amsterdam                               ";"Buurt     ";"BU03636500";"1";"      1033";1
"Tuindorp Oostzaan Oost";"Amsterdam                               ";"Buurt     ";"BU03636501";"1";"      1033";1
"Terrasdorp";"Amsterdam                               ";"Buurt     ";"BU03636502";"1";"      1033";1
"De Bongerd";"Amsterdam                               ";"Buurt     ";"BU03636503";"1";"      1036";1
"Oostzanerwerf";"Amsterdam                               ";"Wijk      ";"WK036366  ";"1";"         .";
"Oostzanerdijk";"Amsterdam                               ";"Buurt     ";"BU03636601";"1";"      1035";4
"Walvisbuurt";"Amsterdam                               ";"Buurt     ";"BU03636602";"1";"      1035";1
"Twiske West";"Amsterdam                               ";"Buurt     ";"BU03636603";"1";"      1035";1
"Noorder IJplas";"Amsterdam                               ";"Buurt     ";"BU03636604";"1";"      1037";1
"Molenwijk";"Amsterdam                               ";"Buurt     ";"BU03636605";"1";"      1035";1
"Circus/Kermisbuurt";"Amsterdam                               ";"Buurt     ";"BU03636606";"1";"      1033";1
"Kadoelen";"Amsterdam                               ";"Wijk      ";"WK036367  ";"1";"         .";
"Kadoelen";"Amsterdam                               ";"Buurt     ";"BU03636700";"1";"      1035";1
"Twiske Oost";"Amsterdam                               ";"Buurt     ";"BU03636701";"1";"      1035";1
"Waterlandpleinbuurt";"Amsterdam                               ";"Wijk      ";"WK036368  ";"1";"         .";
"Baanakkerspark Noord";"Amsterdam                               ";"Buurt     ";"BU03636800";"1";"      1024";1
"Baanakkerspark Zuid";"Amsterdam                               ";"Buurt     ";"BU03636801";"1";"      1024";1
"Werengouw Midden";"Amsterdam                               ";"Buurt     ";"BU03636802";"1";"      1024";1
"Markengouw Midden";"Amsterdam                               ";"Buurt     ";"BU03636803";"1";"      1024";1
"Markengouw Zuid";"Amsterdam                               ";"Buurt     ";"BU03636804";"1";"      1024";1
"Werengouw Zuid";"Amsterdam                               ";"Buurt     ";"BU03636805";"1";"      1024";1
"Buikslotermeer";"Amsterdam                               ";"Wijk      ";"WK036369  ";"1";"         .";
"Rode Kruisbuurt";"Amsterdam                               ";"Buurt     ";"BU03636900";"1";"      1025";1
"Loenermark";"Amsterdam                               ";"Buurt     ";"BU03636902";"1";"      1025";1
"Buikslotermeerplein";"Amsterdam                               ";"Buurt     ";"BU03636909";"1";"      1025";1
"Plan van Gool";"Amsterdam                               ";"Buurt     ";"BU03636910";"1";"      1025";1
"De Kleine Wereld";"Amsterdam                               ";"Buurt     ";"BU03636911";"1";"      1025";1
"Buikslotermeer Noord";"Amsterdam                               ";"Buurt     ";"BU03636912";"1";"      1025";1
"Banne Buiksloot";"Amsterdam                               ";"Wijk      ";"WK036370  ";"1";"         .";
"Banne Zuidwest";"Amsterdam                               ";"Buurt     ";"BU03637000";"1";"      1034";1
"Banne Zuidoost";"Amsterdam                               ";"Buurt     ";"BU03637001";"1";"      1034";1
"Banne Noordwest";"Amsterdam                               ";"Buurt     ";"BU03637002";"1";"      1034";1
"Banne Noordoost";"Amsterdam                               ";"Buurt     ";"BU03637003";"1";"      1034";1
"Buiksloterbreek";"Amsterdam                               ";"Buurt     ";"BU03637004";"1";"      1034";1
"Marjoleinterrein";"Amsterdam                               ";"Buurt     ";"BU03637005";"1";"      1034";1
"Noordelijke IJ-oevers West";"Amsterdam                               ";"Wijk      ";"WK036371  ";"1";"         .";
"Papaverweg e.o.";"Amsterdam                               ";"Buurt     ";"BU03637102";"1";"      1032";1
"Cornelis Douwesterrein";"Amsterdam                               ";"Buurt     ";"BU03637104";"1";"      1033";1
"NDSM terrein";"Amsterdam                               ";"Buurt     ";"BU03637105";"1";"      1033";1
"Buiksloterham";"Amsterdam                               ";"Buurt     ";"BU03637106";"1";"      1031";1
"Overhoeks";"Amsterdam                               ";"Buurt     ";"BU03637107";"1";"      1031";1
"Noordelijke IJ-oevers Oost";"Amsterdam                               ";"Wijk      ";"WK036372  ";"1";"         .";
"Bedrijventerrein Hamerstraat";"Amsterdam                               ";"Buurt     ";"BU03637200";"1";"      1021";2
"Zamenhofstraat e.o.";"Amsterdam                               ";"Buurt     ";"BU03637201";"1";"      1022";1
"Bedrijventerrein Nieuwendammerdijk";"Amsterdam                               ";"Buurt     ";"BU03637202";"1";"      1023";1
"Waterland";"Amsterdam                               ";"Wijk      ";"WK036373  ";"1";"         .";
"Schellingwoude West";"Amsterdam                               ";"Buurt     ";"BU03637300";"1";"      1023";1
"Schellingwoude Oost";"Amsterdam                               ";"Buurt     ";"BU03637301";"1";"      1023";1
"Schellingwoude Noord";"Amsterdam                               ";"Buurt     ";"BU03637302";"1";"      1026";2
"Durgerdam";"Amsterdam                               ";"Buurt     ";"BU03637303";"1";"      1026";1
"Zwarte Gouw";"Amsterdam                               ";"Buurt     ";"BU03637304";"1";"      1026";5
"Ransdorp";"Amsterdam                               ";"Buurt     ";"BU03637305";"1";"      1028";1
"Holysloot";"Amsterdam                               ";"Buurt     ";"BU03637306";"1";"      1028";1
"Zunderdorp";"Amsterdam                               ";"Buurt     ";"BU03637307";"1";"      1027";1
"Noorderstrook West";"Amsterdam                               ";"Buurt     ";"BU03637308";"1";"      1027";1
"Noorderstrook Oost";"Amsterdam                               ";"Buurt     ";"BU03637309";"1";"      1027";1
"Elzenhagen";"Amsterdam                               ";"Wijk      ";"WK036374  ";"1";"         .";
"Nintemanterrein";"Amsterdam                               ";"Buurt     ";"BU03637400";"1";"      1025";1
"Elzenhagen Zuid";"Amsterdam                               ";"Buurt     ";"BU03637401";"1";"      1022";1
"Elzenhagen Noord";"Amsterdam                               ";"Buurt     ";"BU03637402";"1";"      1022";5
"Chassébuurt";"Amsterdam                               ";"Wijk      ";"WK036375  ";"1";"         .";
"Kortenaerkwartier";"Amsterdam                               ";"Buurt     ";"BU03637500";"1";"      1057";1
"Filips van Almondekwartier";"Amsterdam                               ";"Buurt     ";"BU03637501";"1";"      1057";1
"De Wester Quartier";"Amsterdam                               ";"Buurt     ";"BU03637502";"1";"      1057";1
"Van Brakelkwartier";"Amsterdam                               ";"Buurt     ";"BU03637503";"1";"      1057";1
"Slotermeer-Noordoost";"Amsterdam                               ";"Wijk      ";"WK036376  ";"1";"         .";
"Buurt 3";"Amsterdam                               ";"Buurt     ";"BU03637600";"1";"      1063";1
"Buurt 2";"Amsterdam                               ";"Buurt     ";"BU03637601";"1";"      1063";1
"Slotermeer-Zuidwest";"Amsterdam                               ";"Wijk      ";"WK036377  ";"1";"         .";
"Slotermeer Zuid";"Amsterdam                               ";"Buurt     ";"BU03637700";"1";"      1064";1
"Noordoever Sloterplas";"Amsterdam                               ";"Buurt     ";"BU03637701";"1";"      1064";1
"Buurt 4 Oost";"Amsterdam                               ";"Buurt     ";"BU03637702";"1";"      1063";1
"Buurt 5 Noord";"Amsterdam                               ";"Buurt     ";"BU03637703";"1";"      1064";1
"Sloterpark";"Amsterdam                               ";"Buurt     ";"BU03637704";"1";"      1064";3
"Buurt 5 Zuid";"Amsterdam                               ";"Buurt     ";"BU03637705";"1";"      1064";1
"Geuzenveld";"Amsterdam                               ";"Wijk      ";"WK036378  ";"1";"         .";
"Buurt 6";"Amsterdam                               ";"Buurt     ";"BU03637800";"1";"      1067";1
"Buurt 7";"Amsterdam                               ";"Buurt     ";"BU03637801";"1";"      1067";1
"Buurt 8";"Amsterdam                               ";"Buurt     ";"BU03637802";"1";"      1067";1
"Buurt 9";"Amsterdam                               ";"Buurt     ";"BU03637803";"1";"      1067";1
"Eendrachtspark";"Amsterdam                               ";"Buurt     ";"BU03637804";"1";"      1067";1
"Eendracht";"Amsterdam                               ";"Wijk      ";"WK036379  ";"1";"         .";
"Osdorper Binnenpolder";"Amsterdam                               ";"Buurt     ";"BU03637900";"1";"      1067";1
"Buurt 10";"Amsterdam                               ";"Buurt     ";"BU03637901";"1";"      1067";1
"Lutkemeer/Ookmeer";"Amsterdam                               ";"Wijk      ";"WK036380  ";"1";"         .";
"Ookmeer";"Amsterdam                               ";"Buurt     ";"BU03638000";"1";"      1067";1
"Osdorper Bovenpolder";"Amsterdam                               ";"Buurt     ";"BU03638001";"1";"      1067";1
"Bedrijvenpark Lutkemeer";"Amsterdam                               ";"Buurt     ";"BU03638002";"1";"      1060";5
"Osdorp-Oost";"Amsterdam                               ";"Wijk      ";"WK036381  ";"1";"         .";
"Wildeman";"Amsterdam                               ";"Buurt     ";"BU03638100";"1";"      1068";1
"Meer en Oever";"Amsterdam                               ";"Buurt     ";"BU03638101";"1";"      1068";1
"Osdorpplein e.o.";"Amsterdam                               ";"Buurt     ";"BU03638102";"1";"      1068";1
"Calandlaan/Lelylaan";"Amsterdam                               ";"Buurt     ";"BU03638103";"1";"      1068";1
"Osdorp Zuidoost";"Amsterdam                               ";"Buurt     ";"BU03638104";"1";"      1068";1
"Osdorp-Midden";"Amsterdam                               ";"Wijk      ";"WK036382  ";"1";"         .";
"Osdorp Midden Noord";"Amsterdam                               ";"Buurt     ";"BU03638200";"1";"      1069";1
"Osdorp Midden Zuid";"Amsterdam                               ";"Buurt     ";"BU03638201";"1";"      1069";1
"Zuidwestkwadrant Osdorp Noord";"Amsterdam                               ";"Buurt     ";"BU03638202";"1";"      1069";1
"Zuidwestkwadrant Osdorp Zuid";"Amsterdam                               ";"Buurt     ";"BU03638203";"1";"      1069";1
"De Punt";"Amsterdam                               ";"Wijk      ";"WK036383  ";"1";"         .";
"De Punt";"Amsterdam                               ";"Buurt     ";"BU03638300";"1";"      1069";1
"Bedrijvencentrum Osdorp";"Amsterdam                               ";"Buurt     ";"BU03638301";"1";"      1069";1
"Middelveldsche Akerpolder";"Amsterdam                               ";"Wijk      ";"WK036384  ";"1";"         .";
"Middelveldsche Akerpolder";"Amsterdam                               ";"Buurt     ";"BU03638400";"1";"      1069";1
"De Aker West";"Amsterdam                               ";"Buurt     ";"BU03638401";"1";"      1060";1
"De Aker Oost";"Amsterdam                               ";"Buurt     ";"BU03638402";"1";"      1060";1
"Slotervaart Noord";"Amsterdam                               ";"Wijk      ";"WK036385  ";"1";"         .";
"Oostoever Sloterplas";"Amsterdam                               ";"Buurt     ";"BU03638500";"1";"      1064";1
"Emanuel van Meterenbuurt";"Amsterdam                               ";"Buurt     ";"BU03638501";"1";"      1065";1
"Jacob Geelbuurt";"Amsterdam                               ";"Buurt     ";"BU03638502";"1";"      1065";1
"Overtoomse Veld";"Amsterdam                               ";"Wijk      ";"WK036386  ";"1";"         .";
"Overtoomse Veld Noord";"Amsterdam                               ";"Buurt     ";"BU03638600";"1";"      1061";1
"Overtoomse Veld Zuid";"Amsterdam                               ";"Buurt     ";"BU03638601";"1";"      1062";1
"Rembrandtpark Noord";"Amsterdam                               ";"Buurt     ";"BU03638602";"1";"      1057";1
"Rembrandtpark Zuid";"Amsterdam                               ";"Buurt     ";"BU03638603";"1";"      1058";1
"Johan Jongkindbuurt";"Amsterdam                               ";"Buurt     ";"BU03638604";"1";"      1062";1
"Lucas/Andreasziekenhuis e.o.";"Amsterdam                               ";"Buurt     ";"BU03638605";"1";"      1061";1
"Westlandgracht";"Amsterdam                               ";"Wijk      ";"WK036387  ";"1";"         .";
"Koningin Wilhelminaplein";"Amsterdam                               ";"Buurt     ";"BU03638700";"1";"      1062";1
"Andreasterrein";"Amsterdam                               ";"Buurt     ";"BU03638701";"1";"      1058";1
"Delflandpleinbuurt Oost";"Amsterdam                               ";"Buurt     ";"BU03638702";"1";"      1059";1
"Delflandpleinbuurt West";"Amsterdam                               ";"Buurt     ";"BU03638703";"1";"      1062";1
"Riekerhaven";"Amsterdam                               ";"Buurt     ";"BU03638704";"1";"      1062";1
"Schipluidenbuurt";"Amsterdam                               ";"Buurt     ";"BU03638705";"1";"      1062";1
"Sloter-/Riekerpolder";"Amsterdam                               ";"Wijk      ";"WK036388  ";"1";"         .";
"Riekerpolder";"Amsterdam                               ";"Buurt     ";"BU03638800";"1";"      1066";1
"Park Haagseweg";"Amsterdam                               ";"Buurt     ";"BU03638801";"1";"      1066";1
"Nieuwe Meer";"Amsterdam                               ";"Buurt     ";"BU03638802";"1";"      1066";1
"Sloterweg e.o.";"Amsterdam                               ";"Buurt     ";"BU03638803";"1";"      1066";1
"Nieuw Sloten Noordwest";"Amsterdam                               ";"Buurt     ";"BU03638804";"1";"      1066";1
"Nieuw Sloten Noordoost";"Amsterdam                               ";"Buurt     ";"BU03638805";"1";"      1066";1
"Belgiëplein e.o.";"Amsterdam                               ";"Buurt     ";"BU03638806";"1";"      1066";1
"Nieuw Sloten Zuidwest";"Amsterdam                               ";"Buurt     ";"BU03638807";"1";"      1066";1
"Nieuw Sloten Zuidoost";"Amsterdam                               ";"Buurt     ";"BU03638808";"1";"      1066";1
"Dorp Sloten";"Amsterdam                               ";"Buurt     ";"BU03638809";"1";"      1066";1
"Slotervaart Zuid";"Amsterdam                               ";"Wijk      ";"WK036389  ";"1";"         .";
"Louis Crispijnbuurt";"Amsterdam                               ";"Buurt     ";"BU03638900";"1";"      1065";1
"Jacques Veldmanbuurt";"Amsterdam                               ";"Buurt     ";"BU03638901";"1";"      1065";1
"Staalmanbuurt";"Amsterdam                               ";"Buurt     ";"BU03638902";"1";"      1066";1
"Medisch Centrum Slotervaart";"Amsterdam                               ";"Buurt     ";"BU03638903";"1";"      1066";1
"Buitenveldert-West";"Amsterdam                               ";"Wijk      ";"WK036390  ";"1";"         .";
"Gelderlandpleinbuurt";"Amsterdam                               ";"Buurt     ";"BU03639000";"1";"      1082";1
"Buitenveldert Midden Zuid";"Amsterdam                               ";"Buurt     ";"BU03639002";"1";"      1082";1
"Buitenveldert Zuidwest";"Amsterdam                               ";"Buurt     ";"BU03639003";"1";"      1081";1
"Amsterdamse Bos";"Amsterdam                               ";"Buurt     ";"BU03639004";"1";"      1081";1
"Buitenveldert West Midden";"Amsterdam                               ";"Buurt     ";"BU03639008";"1";"      1081";1
"Zuiderhof";"Amsterdam                               ";"Buurt     ";"BU03639009";"1";"      1081";1
"Buitenveldert-Oost";"Amsterdam                               ";"Wijk      ";"WK036391  ";"1";"         .";
"De Klenckebuurt";"Amsterdam                               ";"Buurt     ";"BU03639100";"1";"      1083";5
"Buitenveldert Oost Midden";"Amsterdam                               ";"Buurt     ";"BU03639101";"1";"      1083";2
"Buitenveldert Zuidoost";"Amsterdam                               ";"Buurt     ";"BU03639102";"1";"      1083";2
"Amstelpark";"Amsterdam                               ";"Buurt     ";"BU03639103";"1";"      1083";1
"Amstel III/Bullewijk";"Amsterdam                               ";"Wijk      ";"WK036392  ";"1";"         .";
"Hoofdcentrum Zuidoost";"Amsterdam                               ";"Buurt     ";"BU03639200";"1";"      1101";1
"Amstel III deel A/B Noord";"Amsterdam                               ";"Buurt     ";"BU03639201";"1";"      1101";1
"Amstel III deel C/D Noord";"Amsterdam                               ";"Buurt     ";"BU03639202";"1";"      1101";1
"Amstel III deel A/B Zuid";"Amsterdam                               ";"Buurt     ";"BU03639203";"1";"      1105";1
"Amstel III deel C/D Zuid";"Amsterdam                               ";"Buurt     ";"BU03639204";"1";"      1105";1
"AMC";"Amsterdam                               ";"Buurt     ";"BU03639205";"1";"      1105";1
"Hoge Dijk";"Amsterdam                               ";"Buurt     ";"BU03639206";"1";"      1105";1
"Bijlmer Centrum (D,F,H)";"Amsterdam                               ";"Wijk      ";"WK036393  ";"1";"         .";
"Venserpolder West";"Amsterdam                               ";"Buurt     ";"BU03639300";"1";"      1102";1
"Venserpolder Oost";"Amsterdam                               ";"Buurt     ";"BU03639301";"1";"      1102";1
"D-buurt";"Amsterdam                               ";"Buurt     ";"BU03639302";"1";"      1102";1
"F-buurt";"Amsterdam                               ";"Buurt     ";"BU03639303";"1";"      1102";1
"Amsterdamse Poort";"Amsterdam                               ";"Buurt     ";"BU03639304";"1";"      1102";1
"Hoptille";"Amsterdam                               ";"Buurt     ";"BU03639305";"1";"      1102";1
"Rechte H-buurt";"Amsterdam                               ";"Buurt     ";"BU03639306";"1";"      1102";1
"Hakfort/Huigenbos";"Amsterdam                               ";"Buurt     ";"BU03639307";"1";"      1102";1
"Huntum";"Amsterdam                               ";"Buurt     ";"BU03639308";"1";"      1102";1
"Vogeltjeswei";"Amsterdam                               ";"Buurt     ";"BU03639309";"1";"      1102";1
"Nelson Mandelapark";"Amsterdam                               ";"Buurt     ";"BU03639310";"1";"      1102";1
"Bijlmer Oost (E,G,K)";"Amsterdam                               ";"Wijk      ";"WK036394  ";"1";"         .";
"E-buurt";"Amsterdam                               ";"Buurt     ";"BU03639400";"1";"      1103";1
"G-buurt West";"Amsterdam                               ";"Buurt     ";"BU03639401";"1";"      1103";1
"Bijlmermuseum Noord";"Amsterdam                               ";"Buurt     ";"BU03639402";"1";"      1103";1
"Kortvoort";"Amsterdam                               ";"Buurt     ";"BU03639403";"1";"      1104";1
"Kelbergen";"Amsterdam                               ";"Buurt     ";"BU03639404";"1";"      1104";1
"K-buurt Midden";"Amsterdam                               ";"Buurt     ";"BU03639405";"1";"      1104";1
"K-buurt Zuidoost";"Amsterdam                               ";"Buurt     ";"BU03639406";"1";"      1104";1
"K-buurt Zuidwest";"Amsterdam                               ";"Buurt     ";"BU03639407";"1";"      1104";1
"Grunder/Koningshoef";"Amsterdam                               ";"Buurt     ";"BU03639408";"1";"      1103";4
"G-buurt Oost";"Amsterdam                               ";"Buurt     ";"BU03639409";"1";"      1103";1
"Kantershof";"Amsterdam                               ";"Buurt     ";"BU03639410";"1";"      1104";1
"Gooisekant";"Amsterdam                               ";"Buurt     ";"BU03639411";"1";"      1104";1
"G-buurt Noord";"Amsterdam                               ";"Buurt     ";"BU03639412";"1";"      1103";1
"Bijlmermuseum Zuid";"Amsterdam                               ";"Buurt     ";"BU03639413";"1";"      1104";1
"Nellestein";"Amsterdam                               ";"Wijk      ";"WK036395  ";"1";"         .";
"L-buurt";"Amsterdam                               ";"Buurt     ";"BU03639500";"1";"      1108";1
"Gaasperpark";"Amsterdam                               ";"Buurt     ";"BU03639501";"1";"      1108";1
"Gaasperplas";"Amsterdam                               ";"Buurt     ";"BU03639502";"1";"      1108";1
"Holendrecht/Reigersbos";"Amsterdam                               ";"Wijk      ";"WK036396  ";"1";"         .";
"Holendrecht West";"Amsterdam                               ";"Buurt     ";"BU03639600";"1";"      1106";1
"Reigersbos Noord";"Amsterdam                               ";"Buurt     ";"BU03639601";"1";"      1106";1
"Holendrecht Oost";"Amsterdam                               ";"Buurt     ";"BU03639602";"1";"      1106";1
"Gaasperdam Noord";"Amsterdam                               ";"Buurt     ";"BU03639603";"1";"      1106";1
"Gaasperdam Zuid";"Amsterdam                               ";"Buurt     ";"BU03639604";"1";"      1107";1
"Reigersbos Midden";"Amsterdam                               ";"Buurt     ";"BU03639605";"1";"      1107";1
"Reigersbos Zuid";"Amsterdam                               ";"Buurt     ";"BU03639606";"1";"      1107";1
"Gein";"Amsterdam                               ";"Wijk      ";"WK036397  ";"1";"         .";
"Gein Noordwest";"Amsterdam                               ";"Buurt     ";"BU03639700";"1";"      1106";1
"Gein Zuidwest";"Amsterdam                               ";"Buurt     ";"BU03639701";"1";"      1107";1
"Gein Noordoost";"Amsterdam                               ";"Buurt     ";"BU03639702";"1";"      1106";1
"Gein Zuidoost";"Amsterdam                               ";"Buurt     ";"BU03639703";"1";"      1107";1
"Driemond";"Amsterdam                               ";"Wijk      ";"WK036398  ";"1";"         .";
"Dorp Driemond";"Amsterdam                               ";"Buurt     ";"BU03639800";"1";"      1109";1
"Landelijk gebied Driemond";"Amsterdam                               ";"Buurt     ";"BU03639801";"1";"      1109";1
"Apeldoorn";"Apeldoorn                               ";"Gemeente  ";"GM0200    ";".";"         .";
"Centrum";"Apeldoorn                               ";"Wijk      ";"WK020001  ";"1";"         .";
"Binnenstad";"Apeldoorn                               ";"Buurt     ";"BU02000101";"1";"      7311";1
"De Haven";"Apeldoorn                               ";"Buurt     ";"BU02000102";"1";"      7311";1
"West";"Apeldoorn                               ";"Wijk      ";"WK020002  ";"1";"         .";
"Brinkhorst";"Apeldoorn                               ";"Buurt     ";"BU02000201";"1";"      7311";1
"Sprengenweg-Noord";"Apeldoorn                               ";"Buurt     ";"BU02000202";"1";"      7314";2
"Sprengenbos";"Apeldoorn                               ";"Buurt     ";"BU02000203";"1";"      7314";1
"Berg en Bos";"Apeldoorn                               ";"Buurt     ";"BU02000204";"1";"      7313";1
"Driehuizen";"Apeldoorn                               ";"Buurt     ";"BU02000205";"1";"      7312";1
"Orden";"Apeldoorn                               ";"Buurt     ";"BU02000206";"1";"      7312";1
"Park Berg en Bos";"Apeldoorn                               ";"Buurt     ";"BU02000207";"1";"      7313";1
"Zuidwest";"Apeldoorn                               ";"Wijk      ";"WK020003  ";"1";"         .";
"Ugchelen";"Apeldoorn                               ";"Buurt     ";"BU02000301";"1";"      7339";1
"Ugchelen-Zuid";"Apeldoorn                               ";"Buurt     ";"BU02000302";"1";"      7339";1
"De Heeze";"Apeldoorn                               ";"Buurt     ";"BU02000303";"1";"      7335";1
"Westenenk";"Apeldoorn                               ";"Buurt     ";"BU02000304";"1";"      7335";1
"Winkewijert";"Apeldoorn                               ";"Buurt     ";"BU02000305";"1";"      7334";1
"De Bouwhof";"Apeldoorn                               ";"Buurt     ";"BU02000306";"1";"      7339";1
"Brouwersmolen-Noord";"Apeldoorn                               ";"Buurt     ";"BU02000307";"1";"      7336";1
"Dennenheuvel";"Apeldoorn                               ";"Buurt     ";"BU02000308";"1";"      7334";1
"Holthuizen";"Apeldoorn                               ";"Buurt     ";"BU02000309";"1";"      7335";5
"Brouwersmolen-Zuid";"Apeldoorn                               ";"Buurt     ";"BU02000310";"1";"      7336";1
"Wernem";"Apeldoorn                               ";"Buurt     ";"BU02000311";"1";"      7334";1
"Zuid";"Apeldoorn                               ";"Wijk      ";"WK020004  ";"1";"         .";
"Brummelhof";"Apeldoorn                               ";"Buurt     ";"BU02000401";"1";"      7331";1
"Vogelkwartier";"Apeldoorn                               ";"Buurt     ";"BU02000402";"1";"      7331";1
"Staatsliedenkwartier";"Apeldoorn                               ";"Buurt     ";"BU02000403";"1";"      7331";1
"Componistenkwartier";"Apeldoorn                               ";"Buurt     ";"BU02000404";"1";"      7333";1
"Rivierenkwartier";"Apeldoorn                               ";"Buurt     ";"BU02000405";"1";"      7333";1
"Malkenschoten";"Apeldoorn                               ";"Buurt     ";"BU02000406";"1";"      7333";1
"Kayersmolen-Noord";"Apeldoorn                               ";"Buurt     ";"BU02000407";"1";"      7332";1
"Kayersmolen-Midden";"Apeldoorn                               ";"Buurt     ";"BU02000408";"1";"      7332";1
"Kayersmolen-Zuid";"Apeldoorn                               ";"Buurt     ";"BU02000409";"1";"      7332";1
"Zuidoost";"Apeldoorn                               ";"Wijk      ";"WK020005  ";"1";"         .";
"Matendreef";"Apeldoorn                               ";"Buurt     ";"BU02000501";"1";"      7328";1
"Matenhorst";"Apeldoorn                               ";"Buurt     ";"BU02000502";"1";"      7328";1
"Matendonk";"Apeldoorn                               ";"Buurt     ";"BU02000503";"1";"      7326";1
"Matenhoeve";"Apeldoorn                               ";"Buurt     ";"BU02000504";"1";"      7326";1
"Matenveld";"Apeldoorn                               ";"Buurt     ";"BU02000505";"1";"      7327";1
"Matengaarde";"Apeldoorn                               ";"Buurt     ";"BU02000506";"1";"      7329";1
"Matenhoek";"Apeldoorn                               ";"Buurt     ";"BU02000507";"1";"      7328";1
"Kuipersveld";"Apeldoorn                               ";"Buurt     ";"BU02000508";"1";"      7327";1
"Oost";"Apeldoorn                               ";"Wijk      ";"WK020006  ";"1";"         .";
"Welgelegen";"Apeldoorn                               ";"Buurt     ";"BU02000601";"1";"      7321";1
"Osseveld-West";"Apeldoorn                               ";"Buurt     ";"BU02000602";"1";"      7321";1
"Osseveld-Oost";"Apeldoorn                               ";"Buurt     ";"BU02000603";"1";"      7325";1
"Woudhuis";"Apeldoorn                               ";"Buurt     ";"BU02000604";"1";"      7325";1
"Groot Zonnehoeve";"Apeldoorn                               ";"Buurt     ";"BU02000605";"1";"      7325";1
"De Voorwaarts";"Apeldoorn                               ";"Buurt     ";"BU02000606";"1";"      7321";1
"Bedrijvenpark Ecofactorij";"Apeldoorn                               ";"Buurt     ";"BU02000607";"1";"      7325";1
"Bedrijvenpark Oost";"Apeldoorn                               ";"Buurt     ";"BU02000608";"1";"      7325";1
"Noordoost";"Apeldoorn                               ";"Wijk      ";"WK020007  ";"1";"         .";
"Zevenhuizen";"Apeldoorn                               ";"Buurt     ";"BU02000701";"1";"      7322";1
